Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	29.0	Ti ha vista ieri?				 | acc partic clit | aux A | avv temp | clit 2 | clit femm | clit ogg dir | fless 3 | indic pass pross | interr dir | interr sì/no | ogg def | ogg dir | ogg femm | ogg sing | pro | trans | 
		Al ta idut ier?	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		T’ala vist ieri?	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		To vist algeri?	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		T’al vista algieri?	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		A t'ò viscta ieri?	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		I t'ha visto aiei?	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		A t'à vistu vei?	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		A-t'à vistu vej?	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Tal vista ier?	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic clit | aux A | avv temp | clit 2 | clit femm | clit ogg dir | clit sogg espl | fless 3 | indic pass pross | interr dir | ogg def | ogg dir | ogg femm | ogg sing | pro | trans | 
		T ela vest air	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		T'ala vista jer?	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		A t'ha vista ier?	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		L'à vustiti jera	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		U t'ha vista eri?	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		T'al vist a ier?	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		Vei u tà vistu?	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		T'alo (ala) vista algeri?	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Te ala vedù 'nier?	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		U ta vesta iir?	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		U t'à ustu (usta) vei?	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		Ti ae viduda ier	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		(che) t'ha visto ieri?	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		Al t'a vista ier?	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Te alo vist ieri?	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		U t'a ustu vei?	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
