Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	5.0	Gli devo parlare subito, (a Mario)				 | avv temp | clit 3 | clit climb | clit masch | clit ogg indir | disl dx | dovere | fless 1 | indic pres | inf sempl | PP | PP def | PP sing | pro | 
		Ho da parlac subet al Mario	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Bisògn che ghé parla/go da parlarghé subit,(al Mario)	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Bisògn che ghé parla / go da parlarghé subit,(al Mario)	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ghe devo parlar subito (a Mario)	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ei deev parlee subti	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A go da parlae subito	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		G o da parlà subitu au Mariu	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		Ge devu parlà subetu au Mariu	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Ag dev cacarar subit a Marco	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | avv temp | clit 3 | clit climb | clit masch | clit ogg indir | clit sogg espl | disl dx | dovere | fless 1 | indic pres | inf sempl | PP | PP def | PP sing | pro | 
		A i o da scorri sobbit a Mario	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Bisogna ch'ag cicara subit	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Ei devo parlaje subit	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		J'ò da parleghi suttu	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		Ai devu parlò subito	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		Go de parlà subit a Mario / A go da parlarg subit	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		ghe devu parlé subbetu	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		Bisogn che ghe parla subit	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Ghe ai da descore deboto	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Me a jo da scor sobit	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		G ò da parlage subetu	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		O scugiu ciacarai daur man (a Mario)	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		(e') li devo parlà subito	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		gh u da parlagh subit	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Deve parlarghe suito	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		Mié che ge parlesse subetu	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		A gh'è devu parlo subetu	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		(e) gli devo parlare subito	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		A iò da parlé sobat	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A ghe devo parlae subeto	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		Devi parlach subet	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A gu de parlach sübit	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A gu de parlach subit	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Ghe devo parlare suito	Longare	Longare,Vicenza,Veneto	Meridionale	
		Go de parlai subit al Mario	Malonno	Malonno,Brescia,Lombardia	Orientale	
		A gh'o da parlarach subit	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		Go da parlarghe subito	Mestre	Venezia,Venezia,Veneto	Lagunare	
		G u de parlak subit	Milano1	Milano,Milano,Lombardia	Occidentale	
		Au de parlac subit	Milano2	Milano,Milano,Lombardia	Occidentale	
		Ge devi parlà (/Gu de parlag) sübit	Milano4	Milano,Milano,Lombardia	Occidentale	
		O hai di ciacare subit a Mario	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Deuv parleje subit	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		I-j dev parle', subit	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		Ho da ciacolal subit	Monno	Monno,Brescia,Lombardia	Orientale	
		Ghe devo parlar subito	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		Deve parlarghe subito a Mario	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		Go da parlarghe subito / ? Ghe go da parlare subito	Padova1	Padova,Padova,Veneto	Meridionale	
		Go da parlarghe subito	padova2	Padova,Padova,Veneto	Meridionale	
		Ai di cjacarai subite	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Go de parlarghe subito	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		Deu parleie subit	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		Ai dev parlé subitu	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Deve parlarghe subito	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		A dœvou parlâ-lhi toussuito	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		Ge devu parlà subbetu	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		O scugni ciacarà a colp cun Mario	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		A io da zcor sobti	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		E ghe deive parlaa subetu	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		I dev parleie subit	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		I-j devo parlar subit	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Li devou parlà subit	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		Gh'ho da parlarghe subit	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		Go da parlarghe subito, a lù	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		'I j ai di fevelaj subita (a Mario)	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		Go da parlarghe subito	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		Muesse riesc rujené cun el	Selva di Val Gardena	Selva di Val Gardena/Wolkenstein in Groeden,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		Go da parlarghe suito	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		I-j devo parle-je subit (a Mario)	Torino	Torino,Torino,Piemonte	Alto piemontese	
		I-j devo parleje dun-a	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		I deve parleje subit	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		I-j devo parleje subit	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		I-j dev parlaji subit	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		Such da parleia sutu	Trecate	Trecate,Novara,Piemonte	Novarese	
		Go da parlarghe subito	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		Devo parlarghe subito	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		Ghe go da parlare suito	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		G on da parlà subitu a Mariu	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		Devi parlaga subit	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		Go de parlage subit	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	6.0	L'albero è cresciuto storto				 | avv mod | fless 3 | inacc | indic pass pross | sogg def | sogg masch | sogg nom | sogg prev | sogg sing | 
		L'arbol l'è cresut gavel	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		L’alber (arbor) l’è vegnù su stòrt.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		L’alber (arbor) l’è vegnù su stòrt.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		L’alber l’è vegnù su stort	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		L'erbo u l'à chersciu stort	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		L'arbeo g'è cresù storto	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		L'erbu u l'è cresciuu scivertau	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		L'erbu l'è crescuu stortu	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
