Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
2.0	10.0	La donna che pulisce le scale è malata				 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A donna ch'a pulisce e score a l'è marota	Alassio	Alassio,Savona,Liguria	Gallo-Italico Ligure	 | agg | clit 3 | clit aux | clit femm | clit sogg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ra fumna ch’a pulida le scale a r’è malavja	Alba	Alba,Cuneo,Piemonte	Alto piemontese	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La femma ca la neta li scali l'è malada	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		La dona che la neta su le scale l’è malada	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La dona che neta le scale lei malada	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La dona che neta le scale lei malada	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ra fumra che a pulisc i scoore a l'à maroota	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		La dona che neta 'e sca(l)e zè ma(l)à	Altavilla Vicentina	Altavilla Vicentina,Vicenza,Veneto	Meridionale	
		La dona che neta le scale la zè malà	Alte Ceccato	Montecchio Maggiore,Vicenza,Veneto	Centro-settentrionale	
		La femma che neta le sciale l’è malada	Amblar	Amblar,Trento,Trentino Alto Adige	Ladino-anaunico	 | agg | clit sogg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La femena ca neta li sciales eis malada	Andreis	Andreis,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		La femina ch'a neta li scjalis jè malada	Aquileia	Aquileia,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		A dona cla polisia ia scaa la mae	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		A dona c a lave e scae a l'è maota	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		La dona che neta le scale la sè malà	Arsiero	Arsiero,Vicenza,Veneto	Meridionale	
		A dona c'a pulisce e scae l'è maota	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		La dona ch'a neta li scali l'è malada	Bagnolo S. Vito	Bagnolo San Vito,Mantova,Lombardia	Mantovano	
		La femena ca neta le sciale a è malada	Barcis	Barcis,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		La dona cla pulis le scale l'e' malada	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | agg | clit sogg espl | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A fimmina c’ha pulizia i scali è malata	Biancavilla	Biancavilla,Catania,Sicilia	Area orientale non metafonetica	
		omessa	Bologna1	Bologna,Bologna,Emilia Romagna	Orientale	
		La dona ch la puless al schel l'è amalè	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		La dona ca pulis il scal l'è malada	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		A dona ca pulisce e scae a le maota	Borghetto di Vara	Borghetto di Vara,La Spezia,Liguria	Gallo-Italico Ligure	
		La dona cl'à pulissa 'l scali l'è malavja	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		La fomma che la neta le scale l'e' malada	Borgonato1	Corte Franca,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La foma che neta le scale l'e' malada	Borgonato2	Corte Franca,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La fonna che neta le scale l'e' malada	Borgonato3	Corte Franca,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La fonna che neta le scale l'e' malada	Borgonato4	Corte Franca,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La fomma che neta le scale l'e' malada	Borgonato5	Corte Franca,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La foma che neta le scale e' malada	Borgonato6	Corte Franca,Brescia,Lombardia	Orientale	 | agg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		L'e' malada chela che neta le scale	Borgonato7	Corte Franca,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La foma che neta le scale l'e' malada	Borgonato7	Corte Franca,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A femena che sneta e scaee a ze maeada	Borgoricco 1	Padova,Padova,Veneto	Meridionale	 | agg | clit 3 | clit femm | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A femena che sneta e scaee a ze maeà	Borgoricco 1	Padova,Padova,Veneto	Meridionale	 | agg | clit 3 | clit femm | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La dòna ch’a la fa pulìd al scàli al è malàvia	Borgo San Martino	Borgo San Martino,Alessandria,Piemonte	Alto piemontese	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La fémena che la néta li sc’càla l’é malàda	Bormio	Bormio,Sondrio,Lombardia	Alpino	
		La dona che neta le scale l’è malà	Bovolone	Bovolone,Verona,Veneto	Veronese	
		A femena che neta e scae a ze maeà	Briana	Noale,Venezia,Veneto	Centro-settentrionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Er femma ca pulis i scar l'è marada	Brione	Brione,Brescia,Lombardia	Orientale	
		Ra dona che pulisc le scale a lè marovia	Cairo Montenotte	Cairo Montenotte,Savona,Liguria	Gallo-Italico Ligure	
		La femena che neta i scalin lè malada	Calalzo di Cadore	Calalzo di Cadore,Belluno,Veneto	Ladino Cadorino	
		La fromla che la neta zo i hcale lè malada	Calcinate	Calcinate,Bergamo,Lombardia	Orientale	
		La femana che a neta e scale e xè malà	Caldogno	Caldogno,Vicenza,Veneto	Meridionale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A fumra che a pulisce ei scare l'è marota	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		La dona ca pulida la scali a le malavia	Calliano	Asti,Asti,Piemonte	Alto piemontese	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La femena che sneta e scae ze maà	Camisano Vicentino	Camisano Vicentino,Vicenza,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea femena che sneta e scàe ze maeà	Campagnola	Brugine,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ra fumra ch'a pulis re scare a l'è marota	Carcare	Carcare,Savona,Liguria	Gallo-Italico Ligure	
		A femena che zneta e sca(l)e a zé ma(l)à	Carmignano di Brenta	Carmignano di Brenta,Padova,Veneto	Meridionale	
		A femena che snéta e scae ze maeà	Carmignano di Brenta1	Carmignano di Brenta,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La dona c'la pulis el scheli l'è maleda	Carpi	Carpi,Modena,Emilia Romagna	Occidentale	
		La dòna k al pulíS le Skale ad^ è malata	Carrara	Carrara,Massa-Carrara,Toscana	Lunigiano	
		A donna ca pulisce e sche a l'è marotta	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		La fémena che lèva jù la scèles (la) è maléda	Cazet	Campitello di Fassa,Trento,Trentino Alto Adige	Ladino Atesino	
		La femena che neta le scale la è malada	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		La femina ca neta li scialis a è malata	Cesarolo1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		La femina c'a neta li scialis a è malada	Cesarolo2	San Michele al Tagliamento,Venezia,Veneto	Centro-settentrionale	
		La dona ch'la puless al scheli la j'è maleda	Cesena2	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		La femena che neta le acale l'è malada	Cesiomaggiore	Cesiomaggiore,Belluno,Veneto	Centro-settentrionale	
		A donna ch'a pulisce e schè a l'è marotta	Chiavari1	Chiavari,Genova,Liguria	Gallo-Italico Ligure	
		A donna c'a pulisce e schee a l'è marotta	Chiavari2	Chiavari,Genova,Liguria	Gallo-Italico Ligure	
		La femena che neta le scale l’è malada	Chies d'Alpago	Chies d'Alpago,Belluno,Veneto	Centro-settentrionale	
		La dona che nete le scale (che fa le scale) xè mala!	Chioggia	Chioggia,Venezia,Veneto	Lagunare	
		A dona che netesa e scae a l'è maota	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		La femena che la neta le sale a l'è malada	Cimolais	Cimolais,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		La femena che neta le scale la è malada	Cirvoi	Belluno,Belluno,Veneto	Centro-settentrionale	
		La famina che neta lis skialis e jé malada	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		La famina che neta lis skialis e jé malada	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		La femena ca la neta le sale a l'è malada	Claut	Claut,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		La donna che pulisce le scale è malata	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		La dona che la neta le scale l’ e’ mala’	Colognola ai Colli	Colognola ai Colli,Verona,Veneto	Veronese	
		Ra dona ch'a neta i scar l'è marada	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		La femena ch'a neta li scialis 'a è malada	Cordenons	Cordenons,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		Ea femena che sneta e scàe ze maeà	Correzzola	Correzzola,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		L'ëla che rumëna sö les stighes è püra	Corvara	Corvara in Badia/Corvara,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		Ea femena che neta e scaee ze maà	Due Carrare	Due Carrare,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea femena che neta e scae ze maà	Due Carrare2	Due Carrare,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea femena che neta e scae ea ze maà	Due Carrare3	Due Carrare,Padova,Veneto	Meridionale	 | agg | clit 3 | clit femm | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La femena che neta le sale l'è malada	Erto	Erto e Casso,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		A femena che snéta e scae ze maeà	Facca	Cittadella,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Chela femena che neta du le scale, la e meda malada	Falcade	Falcade,Belluno,Veneto	Ladino-veneto	
		La femena che (la) neta e scale l’è malada.	Falzè di Piave	Sernaglia della Battaglia,Treviso,Veneto	Centro-settentrionale	
		La femena che la neta le scale l'e malada / la sta mal	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		A donna che spassa e scae l'è marotta	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		La dona ag pulis il scal l'è malada	Ferrara1	Ferrara,Ferrara,Emilia Romagna	Orientale	
		La sñora c'la pulìs il scal l'a sta poc ben	Ferrara2	Ferrara,Ferrara,Emilia Romagna	Orientale	
		A donna che a pulisce e score a l'è marotta	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		La donna che pulisce le scale l'è malada	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		La dona ch'la pules al scheli l'è maleda	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		La femna che la néta li scali l’é amalada	Frontale di Sondalo	Sondalo,Sondrio,Lombardia	Alpino	
		A signòra che snéta e scae ze maeà	Galliera Veneta	Galliera Veneta,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A femena che snéta e scae ze maeà	Galliera Veneta1	Galliera Veneta,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A femena che néta e scae a ze maeà	Gazzo	Gazzo,Padova,Veneto	Meridionale	 | agg | clit 3 | clit femm | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La dona che la neta le scale la zè malà	Gazzolo	Arcole,Verona,Veneto	Veronese	
		La dona che sneta le scale la xè malà	Ghizzole di Montegaldella	Montegaldella,Vicenza,Veneto	Meridionale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La femina che neta li' scjalis 'l è malada	Gorizia	Gorizia,Gorizia,Friuli Venezia Giulia	Friulano Centro-orientale	
		Cla dona cla pulisc li schel la iè maleda	Granarola	Gradara,Pesaro Urbino,Marche	Marchigiano settentrionale	
		La fémma che la néta gió i scàli l'è malàda	Grosio	Grosio,Sondrio,Lombardia	Alpino	
		La dona che neta le scale l'e malà	Illasi	Illasi,Verona,Veneto	Veronese	
		La fonna che neta le scale la s’è malada.	Iseo1	Iseo,Brescia,Lombardia	Orientale	 | acc partic sogg | aux E | clit 3 | clit femm | clit rifless | clit sogg | fless 3 = fless 6 | inacc | indic pres | ogg def | ogg dir | ogg femm | ogg plur | partic | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La foma che la neta la scala l'e' malada	Iseo2	Iseo,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La fona che neta zo le scale l'e' malada	Iseo3	Iseo,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | V prep | WH sogg | 
		La foma che scua le scale l'e' malada	Iseo4	Iseo,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La foma che neta le scale l'e' malada	Iseo5	Iseo,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La fonna che la neta le scale l'e' malada	Iseo6	Iseo,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La fona che neta le scale l'e' malada	Iseo7	Iseo,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
