Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	4.0	Ci siamo vestiti in fretta				 | acc partic clit | aux E | clit 4 | clit rifless | fless 4 | indic pass pross | PP | PP avv | PP indef | PP sing | PP temp | pro | sogg masch | 
		En se vistit debot	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Né sém vestidi su ‘mprèsa.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Né sém vestidi su ‘mprèsa	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ne sem vestidi enpresa.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Es summa vestii d'iscprescia	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A se san vestì en freza	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		Se semu vestii aviau	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		Se semu vestii de spresa	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		As sem vestidi in freta	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic clit | aux E | clit 4 | clit rifless | clit sogg espl | fless 4 | indic pass pross | PP | PP avv | PP indef | PP sing | PP temp | pro | sogg masch | 
		A s san vtè in furia	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Nu as sen vastì in presia	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		En soma vistì an pressa	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		Jumma vistenni 'n presa	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		A summa vestu an spresgia	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		Se sum vesti a la svelta / A siom vesti in presia	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		Se semu vestii a la sverva	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		Ne sem vestii en presa	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Se aon vestì en presa	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Nun a sam insti in pressia	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		Se semu vestii a l'aspedia	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		Si sin vistuus a la svelta	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
