Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	41.0	Vi siete tinti i capelli				 | acc partic sogg | aux E | clit 5 | clit rifless | fless 5 | indic pass pross | ogg def | ogg dir | ogg masch | ogg plur | pro | trans | 
		Ve se tengiut i cavei	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Ve sé tinti i cavei.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ve se encoloridi i cavei.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ve se encoloridi i cavei.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Er saj tanci i cavaj	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A ve siè tinto i cavei	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		V ei tentu i caveli	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		Ve sej tente i caveli	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Av siv tinti i cai	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | aux E | clit 5 | clit rifless | clit sogg espl | fless 5 | indic pass pross | ogg def | ogg dir | ogg masch | ogg plur | pro | trans | 
		A v si tent i cavì	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Vu av si tint i cavì	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Ev sej teinsù ij cavij	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		J'è tinsgiovvi i cavitti	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		Iv sei tenzù i cavì	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		A t'at se tinsida i cavei	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		Ve sei tinti i caveli	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		Ve sè colorie i cavei	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Ve avè fat la intenta ai cavei / intendù i cavei	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Av si de la tintura in ti cavell	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		Ve sei tenti i caeli	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		O ves tinzuus i ciavei	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		(e') n' sote tinti' capelli	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		A v sii tongiut i cavii	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Ve se piturà i cavei	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		Ve sei tenci i caeli	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		I ve sei tenti i cavelli	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		Vu vi siete tinti i capelli	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		Av sì tent i cavel	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A ve sé tinti i cavei	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		A ve sü tengiù i cavei	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Si tengiù i cavei	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A ve su tengiu i cavei	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Ve sì co(l)orà i cavei	Longare	Longare,Vicenza,Veneto	Meridionale	
		Va sa se puturac so i caei	Malonno	Malonno,Brescia,Lombardia	Orientale	
		Af si tint i cavei	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		Ve si tinti i cavei / gavi tinto	Mestre	Venezia,Venezia,Veneto	Lagunare	
		Vi si tingiu i cavei	Milano1	Milano,Milano,Lombardia	Occidentale	
		Ve si tingiù i cavei	Milano2	Milano,Milano,Lombardia	Occidentale	
		Ve sí tenðií i kavei	Milano4	Milano,Milano,Lombardia	Occidentale	
		Si seso tinsus i ciavii	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I seve tensue ij cavej	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		I sej tenzuve j cavej	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		V-sé tinzu i cavei	Monno	Monno,Brescia,Lombardia	Orientale	
		Ve se encoloridi i cavei	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		ve se piturà i cavei	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		I ve sei tenti i cavei	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		Ve sì tinti i cavei / ? Ve gavì tinto i cavei	Padova1	Padova,Padova,Veneto	Meridionale	
		Ve si coeorai i cavei	padova2	Padova,Padova,Veneto	Meridionale	
		Vi ses pituras i cjavei	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Ve se piturai i cavei	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		I sevi tensuve i cavej	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		U v sei tenci i cavei	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Ve se pitturai i cavei	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		Ou voû se tenhú loun piòu	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		Ou voû se ten loun piòu	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		Ve sei tenci i cavelli	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		O ves piturat i ciavei	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Av si tint i cavei	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		Cuse gh'avè atu aa tinta,ai sufi?	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		Sevu tensue i cavei	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		Iv sevi tensì ij cavì	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Ou se sè tenth li peel	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		Ve se pituradi i cavei	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		Ve gavè piturà i cavei!	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		'I vi ses tinzus i cjaviei	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		Ve gavè tinto i cavei	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		Ve gavì tinto i caviji	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		I seve tenzuve ij cavej	Torino	Torino,Torino,Piemonte	Alto piemontese	
		I l'eve (seve) tenzuvz y cavej	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		I seve tenzuve ij cavej	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		I seve tenzuve ij cavej	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		I sevi tenzivi ij cavej	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		Si tangiuva i cavì	Trecate	Trecate,Novara,Piemonte	Novarese	
		Ve gavè dato 'a tinta ai cavei	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		Ve gavè piturà tuti i cavei	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		Ve si colorà i cavei	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		V avei tentu i cavei	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		omessa	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		Ve si tinzì i caì	Vione	Vione,Brescia,Lombardia	Orientale	
						
