Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	3.0	I commercianti hanno aumentato i prezzi				 | aux A | ergat | fless 6 | indic pass pross | ogg def | ogg masch | ogg plur | sogg def | sogg masch | sogg nom | sogg prev | trans | 
		I comerciant i a aumentat i pressi	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		I comercianti  i ha aumentà i prezi.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I comercianti i ha aumentà i prezi.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I commercianti  i ha aumentà i prezi.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I mersej an chersciu i prexi	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		I butegai g'ian cresù i prezi	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		I butege an fetu muntà i prezi	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		I bitegé i l'an aumenton i presi	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		I venditor ia aumenta' i prezi	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | aux A | clit sogg espl | ergat | fless 6 | indic pass pross | ogg def | ogg masch | ogg plur | sogg def | sogg masch | sogg nom | sogg prev | trans | 
		I butgher i an aumentè i prezi	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		I comerciant ja alzà i prezi	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Ij comercian a l'han aumentà ij pressi	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		I cumercionti j'on aumantà i prezzi	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		I neguzianti i han aumentò i presgi	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		I butigher i a carsì i presi	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		I bitteghee i l'han aumentou i predzi	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		I botegheri i ha cresù i prezi	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		I marcanti i à parà su i prezi	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		I cumercint ja aumentè i prez	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		I biteghe l'an ersuu i presi	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		I cumersans e an aumentaat i presis	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I commercinati hanno aumentato prezzi	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		I buteghee i a cressut i prezi	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		I comercianti i ha aumentà i prezi	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		I cummercianti an aumentò i prezi	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		I buteghe i-han arsun i prexi	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		I commercianti l'hanno aumentato i prezzi	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		I comercent i ha aumenté i prez	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		I butegai i an montà i presii	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		I cumerciant i an alzà so i prezi	Lecco	Lecco,Lecco,Lombardia	Orientale	
		I cumerciant i a aumentà i prezzi	Lecco	Lecco,Lecco,Lombardia	Orientale	
		I cumercianti i a aümentà i prezzi	Lecco	Lecco,Lecco,Lombardia	Orientale	
		'I ga alsà i presi	Longare	Longare,Vicenza,Veneto	Meridionale	
		I butigher ià crisit i prese	Malonno	Malonno,Brescia,Lombardia	Orientale	
		I butigher i a cresì i presi	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		I comercianti (i) ga cresuo i presi	Mestre	Venezia,Venezia,Veneto	Lagunare	
		I cumerciant an aumentà i presi	Milano1	Milano,Milano,Lombardia	Occidentale	
		I negusiant an cresù i presi	Milano2	Milano,Milano,Lombardia	Occidentale	
		I kumer&#269;ant i an aumentà i prèsi	Milano4	Milano,Milano,Lombardia	Occidentale	
		I commercians é han aumentas i prisis	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Ij comerciant a l'han aumentà ij pressi	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		Ij comerciant j'han aumentà j pressi	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		I butigher i-ha alsà i presi	Monno	Monno,Brescia,Lombardia	Orientale	
		I botegheri i ha cresù i prezi	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		I comercianti i ha aumentà i prezi	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		I comercianti ga (aumentà) cresuo i pressi	Padova1	Padova,Padova,Veneto	Meridionale	
		I commercianti gà alsà i pressi	padova2	Padova,Padova,Veneto	Meridionale	
		I comercians an alsat i presins	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I comercianti i ga aumanta(do) i presi	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		I negosiant a l'an aumentà i presi	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		I cumercianti i an rzu i prezi	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		I comercianti i ha aumentà i pressi	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		Loun marchan il an òumantá loun prê	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		I buttege an aumentou i prezi	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		I marciadans e han alzat i presis	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I comercent ia aumentè i prezi	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		Ii betigai i gi-han aumentà ii presi	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		I cumerciant a l'han aumentà i prese	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		Ij comerciant a j'han chersù ij pressi	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Li coumerchant an aoumentà li pree	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		I negozianti i ha aumentà i presi	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		I comercianti ga aumentà i pressi	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		I comercians a' an aumentat i presins	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		I comercianti ga aumentà i	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		I comerzianc à aumentà i priejes	Selva di Val Gardena	Selva di Val Gardena/Wolkenstein in Groeden,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		I comercianti (i) gà aumentà i presi	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		Ij comerciant a l'han aumentà ij pressi	Torino	Torino,Torino,Piemonte	Alto piemontese	
		Ij comercoant a l'han chersu y pressi	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		Ij comerciant a l'han aumentà ij pressi	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		Ij comerciant a l'han chersù ij pressi	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		Ij comerciant a l'han chersì ij pressi	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		I cumerciont inu crasù i presi	Trecate	Trecate,Novara,Piemonte	Novarese	
		I comercianti i ga tirà su i pressi	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		I comercianti i ga aumentà i presi	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		i botegari i gà alzà i pressi	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		I bitegai i an isau i preizi	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		I comarciant han crasu i presi	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		I butigher i ha (i ga) alsà so i presse	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	7.0	Avendo mangiato troppa torta, Gianni si è sentito male				 | acc partic sogg | aux A | aux E | aux to C | avv mod | clit 3 | clit rifless | fless 3 | gerundio composto | indic pass pross | N proprio | ogg dir | ogg femm | ogg indef | ogg sing | pro | QP ogg dir | sogg def | sogg def | sogg masch | sogg masch | sogg prev | sogg prev | subord | trans | 
		Gianni al se sintit mal parche la maiat trop torta	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		El Giani l’ha magnà masa torta e l’è sta mal.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La magnà masa torta, così el Giani  el se sentì mal.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Siccome l’aveva magnà masa torta, Gianni el s'è sentì mal	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Dato che u l'ò mangioo troppa turta, Gianni u s'à sentù moo	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		Giane i se nteso mae perché già mangià tropa torta	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		U Giani u s'è sentiu ma aprovu cu l'à mangiau tropu turta	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		omessa	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Avend magna' tropa torta, Giani al s'e' sentest mal	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | aux A | aux E | aux to C | avv mod | clit 3 | clit rifless | clit sogg espl | fless 3 | gerundio composto | indic pass pross | N proprio | ogg dir | ogg femm | ogg indef | ogg sing | pro | QP ogg dir | sogg def | sogg def | sogg masch | sogg masch | sogg prev | sogg prev | subord | trans | 
		Gianni al s è sintò mel, l a magnè tropa tourta	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Giani l'è sta mal parchè l'a magnà tropa torta	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Gianni a l'ha mangià tropa torta e a s'ha sentù mal	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		Avendu mangià tonta torta, Giuani j l'a sintossi mal	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		Avendu mangiò troppa turta, Gianni u se sentì mo	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		Lu l'ha mangià tropa turta et el s'è sentì mal / Giani l'ha mangià tropa turta e l'è sta mal	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		U Giani u sè sentiu mae perché u l'à mangiau troppu duse	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		El Giani l'ha magnà masa torta e el s'ha sentù mal	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Da che 'l avea magnà masa peta, el Gioani el s'à sentù mal	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Avend magnè tropa torta Giani u'sè sintì mel	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		D oi mangiò tropa turta u Giani us è sentiu ma	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		Vint mangiada massa torta, Gianni si a sintuut mal	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Siccome ha mangiato troppa torta, Gianni (e') s'è sentito male	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		ur Giani l'a mangiat tropa turta e l s'a sentut ma	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Siccome l'ha magnà masa torta, Gianni l'e stat mal	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		omessa	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		Pe avei mangiun tropa turta, u Gianni u se sentiu mò	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		Avendo mangiato troppa torta, Gianni e s'è sentito male	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		Avend magné tropa torta, Gianni u s'è sintì (sintù) mel	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		DAto ch'i aeva mangià de tropo, Giani i s'è sentù mao	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		Gianni al se sentù mae perché a l'eva mangià tropa turta	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Giani s'è sentu mal perché l'a mangià tropa turta	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Gianni al se sentu mae perché a l‘eva mangià tropa turta	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Sicome ch' el gà magnà masa dolse, Giani se gà sentio male	Longare	Longare,Vicenza,Veneto	Meridionale	
		Al Giani che l'ha maiat trop tanta turta, ades al sta mal	Malonno	Malonno,Brescia,Lombardia	Orientale	
		Sicume l'a magnà tropa turta, Giani al s'è sentì mal	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		Vendo magnà massa fugassa, Nane se ga sentio mal	Mestre	Venezia,Venezia,Veneto	Lagunare	
		L a mangià tropa turta , Giani l è sta mal	Milano1	Milano,Milano,Lombardia	Occidentale	
		Sicume l'a mangià tropa turta, el Giani el se sentù mal	Milano2	Milano,Milano,Lombardia	Occidentale	
		Kul fat ke l a manðà tropa turta, Giani l s e sentü' mal	Milano4	Milano,Milano,Lombardia	Occidentale	
		Vent mangiat tanta torta, Gianni si è sintut mal	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		A l'ha mangià tropa torta, Gianni a l'è stait mal	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		O l'ha mangià tropa torta, Gianni o l'è sentisse ma	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		L'ea majà tata de cola turta, che'l ge vignia 'nfina de tra so	Monno	Monno,Brescia,Lombardia	Orientale	
		A aver magnà masa torta, el Giorgio l'è stà mal	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		? Avendo magnà massa torta, Gianni el se ha sentì mal	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		Vendo magnà massa torta, Gianni se ga sentio male	Padova1	Padova,Padova,Veneto	Meridionale	
		Gianni el se ze sentio mae, perchè el ga magnà massa torta	padova2	Padova,Padova,Veneto	Meridionale	
		Gianni a si è sintut mal paseche a l'a mangiat masse torse	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Sicome ch'el ga magnà masa torta, giani el se ga (ze) sentio mal	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		Sicume a l'a mangià tropa torta, Gianni a l'è sentise mal	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		Datu che l'a mangiò troppa turta Gianni l'è sto ma	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Avendo magnà massa torta, Gianni el se a sentio mal	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		An aian minjá trot ad torto, Djiani ou s’ei santí mâ	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		An aian minjá trot ad torto, Djiani oul ei itá mâ	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		U l'a mangiou troppu turta e u s è sentiu mà	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
